distribution,flaw,magnitude,vis,parameter,id,index,training,correct,rt,vizIndex,excluded
normal,outliers,25,density,0.0175,5ab7de31e1546900019b6a5d,1,1,0,26612,viz20,0
normal,outliers,25,histogram,28,5ab7de31e1546900019b6a5d,2,1,1,6777,viz12,0
normal,outliers,25,scatter,0.0875,5ab7de31e1546900019b6a5d,3,1,0,12006,viz15,0
normal,gap,25,density,0.0175,5ab7de31e1546900019b6a5d,4,1,1,15400,viz4,0
normal,gap,25,histogram,28,5ab7de31e1546900019b6a5d,5,1,0,2880,viz3,0
normal,gap,25,scatter,0.0875,5ab7de31e1546900019b6a5d,6,1,0,8140,viz16,0
normal,spike,25,density,0.0175,5ab7de31e1546900019b6a5d,7,1,1,3541,viz15,0
normal,spike,25,histogram,28,5ab7de31e1546900019b6a5d,8,1,1,3334,viz6,0
normal,spike,25,scatter,0.0875,5ab7de31e1546900019b6a5d,9,1,1,2754,viz4,0
normal,outliers,20,density,0.07,5ab7de31e1546900019b6a5d,10,0,1,5070,viz17,0
normal,spike,15,scatter,0.35,5ab7de31e1546900019b6a5d,11,0,0,7891,viz20,0
normal,gap,10,scatter,0.175,5ab7de31e1546900019b6a5d,12,0,0,7233,viz8,0
normal,outliers,20,density,0.035,5ab7de31e1546900019b6a5d,13,0,1,6587,viz6,0
normal,spike,10,density,0.035,5ab7de31e1546900019b6a5d,14,0,0,3292,viz20,0
normal,gap,10,scatter,0.35,5ab7de31e1546900019b6a5d,15,0,0,2599,viz3,0
normal,gap,20,density,0.07,5ab7de31e1546900019b6a5d,16,0,1,4465,viz12,0
normal,spike,20,histogram,28,5ab7de31e1546900019b6a5d,17,0,1,2442,viz19,0
normal,spike,10,histogram,7,5ab7de31e1546900019b6a5d,18,0,0,5690,viz2,0
normal,spike,15,scatter,0.175,5ab7de31e1546900019b6a5d,19,0,0,6214,viz20,0
normal,outliers,10,density,0.0175,5ab7de31e1546900019b6a5d,20,0,0,20992,viz1,0
normal,outliers,20,histogram,7,5ab7de31e1546900019b6a5d,21,0,1,4495,viz16,0
normal,outliers,10,scatter,0.35,5ab7de31e1546900019b6a5d,22,0,0,3916,viz20,0
normal,gap,20,histogram,14,5ab7de31e1546900019b6a5d,23,0,1,2983,viz15,0
normal,spike,15,density,0.0175,5ab7de31e1546900019b6a5d,24,0,1,2296,viz8,0
normal,outliers,15,scatter,0.175,5ab7de31e1546900019b6a5d,25,0,0,6128,viz15,0
normal,gap,10,scatter,0.0875,5ab7de31e1546900019b6a5d,26,0,0,8989,viz18,0
normal,gap,10,histogram,7,5ab7de31e1546900019b6a5d,27,0,0,6270,viz4,0
normal,gap,10,density,0.07,5ab7de31e1546900019b6a5d,28,0,0,22526,viz5,0
normal,spike,10,density,0.07,5ab7de31e1546900019b6a5d,29,0,0,3218,viz11,0
normal,outliers,20,scatter,0.175,5ab7de31e1546900019b6a5d,30,0,0,4464,viz20,0
