id,gender,age,education,experience,comments,excluded
5ab549eafa3b4e000172c75e,Male,34,Graduate degree,1,,0
5ab63897e1546900019b5c62,Female,37,Graduate degree,2,,0
5ab77fe95cd1050001619c28,Male,24,College degree,2,,0
578fc7e8275be60001359ac0,Male,27,College degree,3,,0
5ab5ab906db3e700011bed75%2540email.prolific.ac,Female,19,Some college,3,,0
5a3c5b606d85f80001c23025,Male,18,Some college,1,None,0
5ab7de31e1546900019b6a5d,Male,18,Some high school,1,,0
5ab2d60d580b9900017303a9,Female,45,Some high school,0,,0
5a91e88bdbdb470001ee8768,Male,22,College degree,2,,0
57aa430b4cda6e00018420e9,Male,18,High school degree,3,,0
5ab7d3cef69e940001d8ebe7,Male,18,College degree,1,,0
5ab7a09b47a9f70001539e96,Female,23,Graduate degree,2,This study could largely benefit from a more extensive explanation of what outliers_ spikes_ and gaps are at the beginning of the questionnaire. The examples given were useful_ but I found myself googling the terms for a more thorough definition.  ,0
5a74ceb0ae9a0b0001a95423,Male,32,Graduate degree,3,,0
5ab741e2892136000182f355,Male,29,Some college,2,,0
5ab774c047a9f70001539c81,Female,33,College degree,3,,0
5ab6c94cfa3b4e000172d295%2540email.prolific.ac,Female,38,College degree,2,,0
567b4ea8b7d79a0012b27089,Female,21,Some college,2,,0
5984803177201f0001f137e4,Male,34,Graduate degree,2,na,1
5ab504ece1546900019b5261,Male,25,College degree,2,,0
5ab629b3a3ba7a0001b401d7,Male,32,Some high school,1,,0
597799e831c269000130c137,Female,31,Some high school,1,,0
5ab15ab4c42b630001cd36fb,Male,36,Some college,1,,0
5ab69186ead3eb0001518cba,Male,35,College degree,2,,0
5ab73778a3ba7a0001b409e7,Male,20,Some college,2,It would be helpful if there were clearer and more elaborate guidelines on what determined a flaw.,0
5ab729130527ba0001c17fbd,Male,19,Some college,0,,0
5ab552656db3e700011bea12,Female,20,High school degree,0,i enjoyed this study although it was very hard,0
597cefff64e7b900018e61df,Male,45,College degree,2,,0
59e7d3f97f3d71000171def0,Male,34,Some college,2,thank you,0
5a05e32e7ecfc50001be0cc3,Female,31,Graduate degree,0,,0
5a70d41c9cdd1800017763d7,Female,41,Graduate degree,0,,0
5a64a72ac0d836000107c2f9,Male,22,College degree,2,,0
55ea70c37480920010aa9982,Male,30,Some college,2,No.,0
